ITEM CODE,YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
10014,6051,33,1.0,1.0,13.0
100200,16138,56,2.0100000000000002,0.0,0.0
100293,18155,64,10.06,8.0,77.0
10030,2017,12,0.08,0.0,0.0
100641,8070,21,1.46,2.0,33.0
100749,18155,64,6.670000000000001,5.0,0.0
100803,14121,45,3.99,0.0,16.0
100927,4035,13,1.98,0.0,1.0
10095,4036,3,71.5,123.0,112.0
10103,18155,64,38.2,32.0,1.0
101117,14121,53,9.290000000000001,10.0,6.0
10120,18155,64,12.64,9.0,0.0
10123,8070,26,10.69,31.0,0.0
10124,8070,26,10.54,28.0,0.0
10125,8070,26,9.34,28.67,0.0
101532,18155,64,13.739999999999998,12.0,14.0
101567,4036,3,3.6799999999999997,4.0,20.0
101621,4036,3,0.25,0.0,0.0
101664,18155,64,7.23,5.0,11.0
101680,8069,28,1.53,2.0,0.0
10197,18155,64,307.99,303.33,1.0
101974,18155,64,215.23000000000002,230.32999999999998,147.0
102,6051,26,0.5,0.0,0.0
10200,4035,13,2.0,3.0,22.0
102032,18155,64,11.58,9.0,7.0
102083,6052,16,0.49000000000000005,0.0,2.0
10224,10086,32,1.87,0.0,0.0
10226,6051,33,0.56,0.0,0.0
102318,14121,49,1.94,0.0,3.0
10243,18155,64,27.42,25.0,0.0
10245,14119,61,6.4,3.92,606.9200000000001
10246,18155,64,5.4399999999999995,7.0,0.0
10254,4034,11,1.02,1.0,0.0
10265,14121,43,2.37,1.0,2.0
10266,18155,64,59.46000000000001,59.0,73.0
10267,12103,49,2.37,0.0,6.0
10268,18155,64,4.640000000000001,3.0,17.0
10269,18155,64,14.28,2.0,0.0
10270,18155,64,8.510000000000002,6.0,0.0
10271,14119,61,33.46,29.0,71.0
10272,14121,46,2.69,3.0,0.0
10273,14120,54,1.21,0.0,0.0
10274,16138,55,10.709999999999999,1.0,0.0
10275,18155,64,24.6,20.0,0.0
10276,18155,64,10.329999999999998,15.0,0.0
10278,18155,64,11.78,9.879999999999999,0.0
10279,18155,64,19.67,12.0,0.0
10285,14121,44,1.21,0.0,0.0
10299,2017,6,0.17,0.0,0.0
10302,18155,64,23.0,21.0,24.0
10306,2017,6,1.0,1.0,1.0
103098,16138,52,2.04,3.0,1.0
10324,8068,31,1.07,1.0,1.0
10332,18155,64,163.58,161.0,1.0
10346,8070,23,4.0,2.0,20.0
10349,6051,33,0.96,1.0,0.0
103608,14121,43,2.37,1.0,4.0
10370,18155,64,5.5,11.0,35.75
10375,18155,64,105.25999999999999,29.83,0.0
103977,12103,52,1.72,0.0,0.0
104,16138,59,29.1,21.9,0.0
10401,14121,50,2.21,3.0,0.0
10402,2017,6,1.0,1.0,0.0
10406,4034,17,1.0,0.0,6.0
104060,18155,64,7.420000000000001,6.92,20.0
10413,18155,64,233.18,243.0,242.0
10427,4034,14,0.51,0.0,0.0
104280,18155,64,4.699999999999999,4.0,34.0
10430,18155,64,400.0,424.0,1174.71
104302,16138,59,6.93,5.0,9.0
10431,18155,64,217.95,230.0,1325.75
10432,16138,55,9.0,8.0,385.0
10433,14119,61,12.25,14.0,108.0
10434,18155,64,613.0799999999999,634.0,1816.0
10435,18155,64,265.99,277.0,869.96
10436,18155,64,484.08000000000004,488.75,1372.46
10437,18155,64,41.25,43.0,370.58
10438,18155,64,51.75,56.0,340.75
10439,18155,64,21.21,24.0,104.0
10440,18155,64,15.729999999999999,4.0,15.0
10441,18155,64,231.49,275.0,122.0
10442,18155,64,306.49,303.83,15.0
10443,18155,64,115.47,107.0,8.0
10444,18155,64,195.97,212.84000000000003,1.0
10445,18155,64,159.51999999999998,91.0,16.0
104450,14120,56,1.9500000000000002,0.0,3.0
104604,16138,58,1.85,2.0,10.0
104639,10086,42,0.73,0.0,9.0
10472,18155,64,37.96,35.0,9.0
10478,6051,19,0.8500000000000001,0.0,9.0
10480,18155,64,27.63,18.0,0.0
10491,14121,49,3.8200000000000003,4.0,0.0
10499,18155,64,18.99,14.0,0.0
105,16138,59,175.8,151.0,0.0
10529,18155,64,506.77000000000004,494.64,1.0
10545,18155,64,18.66,6.0,0.0
105490,18155,64,29.72,30.0,11.0
105520,16138,59,1.29,1.0,7.0
1058,18155,64,63.699999999999996,70.0,107.0
105937,8069,25,0.28,1.0,13.0
106,16138,59,13.4,14.0,0.0
10603,8069,21,1.7999999999999998,1.0,3.0
10606,18155,64,5.909999999999999,-0.17,0.0
10607,16138,53,5.26,0.0,0.0
10608,18155,64,4.76,0.0,0.0
10609,14121,47,4.75,9.0,112.0
10610,18155,64,27.659999999999997,24.0,40.0
10615,2018,2,0.04,0.0,0.0
10634,18155,64,87.15,86.0,6.0
10636,18155,64,18.08,13.0,1.0
10637,18155,64,73.91,79.0,72.0
10638,14121,44,12.0,8.5,13.0
106437,4034,16,0.49,0.0,0.0
10645,4034,11,0.75,0.0,0.0
10646,18155,64,9.75,10.0,57.75
10647,4035,12,0.67,0.0,0.0
106577,16138,54,3.8100000000000005,2.0,10.0
10662,4034,19,0.5,-1.0,0.0
10665,18155,64,41.32,36.0,1.0
10666,18155,64,6.000000000000001,1.0,1.0
10667,18155,64,11.709999999999999,10.0,0.0
10668,18155,64,214.23000000000002,217.0,2.0
10669,14121,51,6.11,1.0,0.0
10670,16138,54,15.969999999999999,3.0,0.0
106704,18155,64,6.030000000000001,2.0,0.0
10671,8069,29,1.02,0.0,0.0
10672,14121,53,13.909999999999998,1.0,0.0
10673,18155,64,12.58,1.0,0.0
106739,14120,57,1.21,0.0,2.0
10674,18155,64,14.26,6.0,0.0
10675,18155,64,10.709999999999999,3.83,0.0
10676,18155,64,10.139999999999999,7.0,0.0
10677,18155,64,11.97,8.0,0.0
10678,18155,64,15.04,12.0,0.0
106917,10085,50,2.94,2.0,19.0
10693,18155,64,45.75,43.0,1.0
10696,16138,54,13.0,11.0,73.0
10697,16137,62,12.0,12.0,52.75
106984,14120,52,2.77,0.0,2.0
10711,18155,64,151.23999999999998,159.75,563.12
10714,18155,64,44.0,41.0,297.0
10715,4034,11,3.25,1.0,1.0
107352,14120,52,0.7999999999999999,0.0,29.0
10737,18155,64,19.57,9.92,22.0
10738,14121,47,3.5,2.0,0.0
10740,18155,64,47.19,50.0,45.0
10744,4034,15,0.2,0.0,0.0
107557,10087,36,1.36,1.0,1.0
10758,18155,64,62.57,61.0,25.0
10766,2017,11,0.17,0.0,0.0
10772,16137,62,16.91,18.0,68.0
10787,12102,56,4.07,4.0,1.0
10790,16137,62,5.51,3.0,9.0
107972,6052,23,0.24,0.0,0.0
108,6051,27,0.28,0.0,0.0
10804,18155,64,125.30000000000001,127.84,65.0
10819,4034,11,1.02,0.0,0.0
10820,18155,64,56.23,53.92,35.0
108200,16137,62,2.05,2.0,16.0
10832,18155,64,5.27,0.0,0.0
108367,18155,64,18.13,15.0,3.0
108391,16137,62,3.7700000000000005,3.0,2.0
10844,12104,40,1.53,3.0,0.0
10847,18155,64,11.02,8.0,2.0
10850,18155,64,6.11,8.0,18.0
10851,18155,64,13.08,2.66,0.0
10852,12103,44,2.35,0.0,0.0
10853,14121,50,1.92,-0.04,0.0
10854,12104,38,1.0,0.0,0.0
10855,14121,49,8.26,9.0,2.0
10856,18155,64,9.25,6.0,0.0
10857,12102,51,1.36,0.0,0.0
10858,10086,36,1.02,0.0,0.0
10859,18155,64,50.269999999999996,50.58,36.0
10860,18155,64,176.25,183.92,53.92
10861,18155,64,88.71000000000001,85.84,52.0
10862,18155,64,98.38999999999999,104.91,0.0
10863,16138,58,6.96,7.0,0.0
108634,18155,64,29.1,24.0,45.0
10864,18155,64,24.46,21.0,0.0
10865,18155,64,21.549999999999997,15.0,0.0
10866,18155,64,9.44,7.67,6.0
10867,12104,41,2.5300000000000002,3.0,0.0
10869,18155,64,8.32,7.0,0.0
10870,16138,59,7.64,2.0,0.0
10874,16138,56,15.07,3.0,0.0
10876,2018,1,0.08,1.0,0.0
108790,18155,64,28.270000000000003,30.0,45.0
108944,6051,28,0.6499999999999999,0.0,0.0
10898,18155,64,121.01,107.0,246.0
10899,18155,64,2.4499999999999997,2.0,0.0
109,6051,31,0.30000000000000004,0.0,0.0
10907,18155,64,198.48,205.0,20.0
10908,18155,64,29.96,19.83,0.0
10910,18155,64,8.75,9.0,21.0
10914,4036,3,2.0,3.0,1.0
10915,6053,11,2.75,3.0,1.0
10919,10087,36,3.6399999999999997,3.0,3.0
10930,18155,64,18.49,30.0,0.0
10937,2017,6,0.08,0.0,0.0
10959,18155,64,13.25,7.0,0.0
10961,12104,39,7.800000000000001,0.0,0.0
109622,4035,13,0.34,0.0,0.0
109630,10085,48,0.88,0.0,1.0
10979,18155,64,248.45000000000002,245.82999999999998,13.0
10994,18155,64,20.990000000000002,24.0,36.0
110,10085,50,1.8,0.0,0.0
110000,18155,64,19.73,19.0,1.0
11002,18155,64,80.52,86.0,10.0
110132,18155,64,47.86999999999999,49.0,2.0
11015,2017,5,1.0,0.0,2.0
11019,18155,64,102.29,106.0,37.92
11020,18155,64,28.200000000000003,-0.8300000000000001,0.0
11021,18155,64,28.71,-0.71,0.0
11022,16137,62,27.38,1.67,0.0
11023,14119,61,27.020000000000003,0.0,0.0
11024,18155,64,32.68,0.0,0.0
110264,2017,9,0.08,0.0,0.0
11029,18155,64,144.54,130.82999999999998,0.0
11037,18155,64,49.220000000000006,54.92,0.0
11062,2018,2,0.75,2.0,9.0
11070,18155,64,3.6799999999999997,1.0,0.0
11084,18155,64,36.12,38.0,2.0
11085,18155,64,21.79,17.84,0.0
11086,16138,56,11.25,10.0,0.0
11088,18155,64,489.3599999999999,532.01,39.0
11118,18155,64,1245.15,1305.6100000000001,202.0
11142,18155,64,70.23,76.83,27.0
11169,18155,64,18.18,22.92,0.0
111708,18155,64,6.82,0.0,22.0
111740,8069,34,0.81,0.0,2.0
11175,14120,54,0.56,0.0,0.0
112,16138,59,160.3,159.0,0.0
11207,18155,64,444.34,442.92,215.92000000000002
11215,18155,64,261.21999999999997,275.5,102.83
11221,16137,63,4.73,4.0,0.0
112275,12103,44,1.79,0.0,2.0
112283,16138,56,3.53,2.0,74.0
11229,8068,29,2.25,2.0,6.0
112305,4034,21,0.48000000000000004,0.0,0.0
11231,18155,64,439.74,461.83,4.0
11266,18155,64,312.02,311.92,112.0
112739,18155,64,16.999999999999996,22.0,104.0
11274,18155,64,56.63,52.0,20.0
112771,10087,30,2.66,1.0,9.0
112780,4034,11,0.33,0.0,0.0
112836,6052,24,0.49,0.0,0.0
112844,2018,2,0.08,0.0,0.0
112917,6053,15,4.17,8.0,41.0
11306,18155,64,32.260000000000005,29.0,0.0
11307,18155,64,6.09,3.0,0.0
11310,14121,44,1.7000000000000002,2.0,2.0
11316,16138,59,12.39,1.0,1.0
11317,18155,64,11.05,7.0,0.0
11320,18155,64,59.60999999999999,62.84,7.0
11322,4034,11,1.75,0.0,6.0
11325,8068,28,2.75,3.0,28.0
11340,18155,64,3.130000000000001,3.0,0.0
11341,18155,64,4.42,3.0,0.0
11344,10087,31,1.28,1.0,0.0
113441,18155,64,66.5,58.59,223.75
11350,18155,64,9.84,14.84,3.0
11360,6051,33,3.0,1.0,35.0
11371,18155,64,21.8,6.0,54.0
11373,18155,64,29.03,27.0,0.0
11374,18155,64,16.11,6.0,0.0
11375,18155,64,18.82,4.15,0.0
11376,18155,64,26.439999999999998,17.0,0.0
11378,12104,44,1.7000000000000002,1.0,1.0
11380,18155,64,70.28,85.33,0.0
11381,12103,44,4.630000000000001,4.0,0.0
11382,18155,64,7.46,8.0,0.0
11383,18155,64,16.56,17.0,0.0
11384,18155,64,13.07,6.0,0.0
11385,16138,54,7.469999999999999,5.0,0.0
11386,18155,64,9.33,6.0,0.0
11387,14121,45,2.0100000000000002,0.0,0.0
11391,18155,64,13.370000000000001,9.83,0.0
11392,16137,62,13.759999999999998,5.0,0.0
11394,12102,49,18.64,-0.5,0.0
11395,18155,64,58.26,54.92,5.0
11396,14120,54,5.300000000000001,1.0,0.0
11398,18155,64,14.400000000000002,15.0,12.0
11399,12102,49,7.18,0.0,0.0
114,16138,59,774.8,779.8,0.0
11402,18155,64,16.29,4.0,0.0
11403,16137,62,3.3899999999999997,0.0,0.0
11418,18155,64,22.06,20.0,0.0
114324,8070,23,2.14,1.0,-1.0
11436,18155,64,59.86,64.92,0.0
11446,18155,64,139.56,155.76,9.0
11447,18155,64,47.07,38.0,0.0
11448,18155,64,8.530000000000001,6.0,1.0
11449,18155,64,82.22,87.98,-1.0
11450,12104,44,2.61,1.0,0.0
11451,16138,54,4.739999999999999,0.0,0.0
11452,18155,64,15.629999999999999,11.83,0.0
11453,18155,64,20.02,17.0,0.0
11454,18155,64,6.000000000000001,-0.08,0.0
