ITEM CODE,YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
10014,6051,33,1.0,1.0,13.0
100293,18155,64,10.06,8.0,77.0
100641,8070,21,1.46,2.0,33.0
100803,10086,36,2.6900000000000004,0.0,16.0
100927,2018,1,0.58,0.0,1.0
10095,4036,3,71.5,123.0,112.0
10103,2017,10,4.02,4.0,1.0
101117,8069,31,5.33,7.0,6.0
101532,16138,53,12.889999999999999,9.0,14.0
101567,4036,3,3.6799999999999997,4.0,20.0
101664,12103,46,3.92,2.0,11.0
10197,2017,10,43.75,40.0,1.0
101974,18155,64,215.23000000000002,230.32999999999998,147.0
10200,2017,12,1.5,3.0,23.0
102032,8069,24,4.35,5.0,10.0
102083,4035,10,0.41000000000000003,0.0,2.0
102318,6051,30,1.2000000000000002,0.0,3.0
10245,14119,61,6.4,3.92,606.9200000000001
10265,4034,17,0.33,0.0,2.0
10266,18155,64,59.46000000000001,59.0,73.0
10267,6052,18,1.24,0.0,6.0
10268,8068,33,1.3900000000000001,2.0,17.0
10271,14119,61,33.46,29.0,71.0
10302,14120,56,19.25,19.0,24.0
10306,2017,6,1.0,1.0,1.0
103098,2017,5,0.08,0.0,1.0
10324,2017,11,0.75,0.0,1.0
10332,2018,1,13.52,21.0,1.0
10346,6052,21,3.75,2.0,20.0
103608,6052,18,0.9099999999999999,0.0,4.0
10370,18155,64,5.5,11.0,35.75
10406,2017,8,0.5,0.0,6.0
104060,16137,62,6.180000000000001,5.92,20.0
10413,18155,64,233.18,243.0,242.0
104280,16138,55,4.289999999999999,4.0,34.0
10430,18155,64,400.0,424.0,1174.71
104302,6052,24,2.87,5.0,9.0
10431,18155,64,217.95,230.0,1325.75
10432,16138,55,9.0,8.0,385.0
10433,12102,49,10.0,14.0,108.0
10434,18155,64,613.0799999999999,634.0,1816.0
10435,18155,64,265.99,277.0,869.96
10436,18155,64,484.08000000000004,488.75,1372.46
10437,18155,64,41.25,43.0,370.58
10438,18155,64,51.75,56.0,340.75
10439,18155,64,21.21,24.0,104.0
10440,14121,46,12.25,3.0,15.0
10441,18155,64,231.49,275.0,122.0
10442,14120,54,256.76,249.82999999999998,22.0
10443,10086,38,60.61000000000001,60.0,8.0
10444,2018,1,21.96,16.0,1.0
10445,16138,59,143.58,86.0,16.0
104450,6051,32,1.06,0.0,3.0
104604,14121,49,1.7699999999999998,2.0,10.0
104639,8069,30,0.65,0.0,9.0
10472,12103,39,30.14,28.0,9.0
10478,6051,19,0.8500000000000001,0.0,9.0
10529,2017,6,96.67,91.83,1.0
105490,10086,31,16.73,18.0,11.0
105520,10087,29,0.8,1.0,7.0
1058,18155,64,63.699999999999996,70.0,107.0
105937,6051,23,0.2,1.0,13.0
10603,4035,10,1.23,1.0,3.0
10609,14121,47,4.75,9.0,112.0
10610,18155,64,27.659999999999997,24.0,40.0
10634,6052,16,25.759999999999998,28.0,6.0
10636,2017,11,5.04,5.0,1.0
10637,18155,64,73.91,79.0,72.0
10638,8068,29,8.5,5.0,13.0
10646,18155,64,9.75,10.0,57.75
106577,12103,44,2.5700000000000003,2.0,10.0
10665,2018,2,4.49,8.0,1.0
10666,2017,11,0.52,0.0,1.0
10668,4036,3,40.9,36.0,2.0
106739,2017,12,0.28,0.0,2.0
106917,8068,42,2.44,1.0,22.0
10693,2017,9,4.5,9.0,1.0
10696,16138,54,13.0,11.0,73.0
10697,8068,28,9.75,12.0,52.75
106984,4034,23,1.04,0.0,2.0
10711,18155,64,151.23999999999998,159.75,563.12
10714,18155,64,44.0,41.0,297.0
10715,2017,5,2.5,1.0,1.0
107352,14120,52,0.7999999999999999,0.0,29.0
10737,10086,41,10.85,6.92,22.0
10740,16138,52,39.67,46.0,45.0
107557,2017,12,0.48,0.0,1.0
10758,18155,64,62.57,61.0,25.0
10772,14119,61,14.91,18.0,68.0
